date,flowers_appeared,fruits_matured,fruits_appeared,fruits_unmarketable,DAP (d)
2021/08/17,74.44362062540363,54.63745988992307,74.61054135711095,2.6875,197
2021/08/18,74.84987062540363,54.85620988992307,75.01679135711095,2.6875,198
2021/08/19,75.50612062540363,55.32495988992307,75.67304135711095,2.6875,199
2021/08/20,75.84987062540363,55.38745988992307,76.01679135711095,2.6875,200
2021/08/21,76.06862062540363,55.48120988992307,76.23554135711095,2.6875,201
2021/08/22,76.56862062540363,55.63745988992307,76.73554135711095,2.6875,202
2021/08/23,76.84987062540363,55.79370988992307,77.01679135711095,2.6875,203
2021/08/24,77.19362062540363,55.91870988992307,77.36054135711095,2.6875,204
2021/08/25,77.72487062540363,56.01245988992307,77.89179135711095,2.6875,205
2021/08/26,78.06862062540363,56.16870988992307,78.23554135711095,2.6875,206
2021/08/27,78.72487062540363,56.19995988992307,78.89179135711095,2.6875,207
2021/08/28,79.00612062540363,56.32495988992307,79.17304135711095,2.6875,208
2021/08/29,79.34987062540363,56.51245988992307,79.51679135711095,2.6875,209
2021/08/30,79.78737062540363,57.07495988992307,79.95429135711095,2.6875,210
2021/08/31,80.22487062540363,57.07495988992307,80.39179135711095,2.6875,211
